City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Ongandjera,NA,2022-05-23 00:09:45,-17.8833,15.0667,56.7,24,0,9.01
210,Miyako,JP,2022-05-23 00:09:45,39.6367,141.9525,58.6,81,100,5.23
211,Saskylakh,RU,2022-05-23 00:09:45,71.9167,114.0833,33.03,93,100,9.22
212,Keetmanshoop,NA,2022-05-23 00:09:45,-26.5833,18.1333,55.49,55,11,8.28
213,Yumen,CN,2022-05-23 00:09:46,40.2833,97.2,65.5,35,16,20.11
214,Sindi,IN,2022-05-23 00:09:46,20.8,78.8667,88.68,45,0,17.2
215,Sur,OM,2022-05-23 00:09:46,22.5667,59.5289,92.41,38,0,17.05
216,Conceicao Da Barra,BR,2022-05-23 00:07:01,-18.5933,-39.7322,68.94,73,25,4.25
217,Ulaangom,MN,2022-05-23 00:09:46,49.9811,92.0667,70.14,25,99,6.38
218,Tumaco,CO,2022-05-23 00:09:47,1.7986,-78.8156,78.15,88,66,7.31
219,Busayra,JO,2022-05-23 00:09:47,30.7376,35.6078,54.23,71,0,8.46
220,Wamba,NG,2022-05-23 00:08:11,8.9333,8.6,73.69,88,99,2.08
221,Carinhanha,BR,2022-05-23 00:09:47,-14.3047,-43.765,69.93,45,3,5.32
222,Makakilo City,US,2022-05-23 00:09:47,21.3469,-158.0858,82.72,57,75,16.11
223,Eureka,US,2022-05-23 00:09:48,40.8021,-124.1637,60.21,82,78,5.99
224,Muzhi,RU,2022-05-23 00:09:48,65.3667,64.6667,35.04,92,100,27.58
225,Puerto Leguizamo,CO,2022-05-23 00:09:48,-0.1934,-74.7819,72.72,96,49,1.83
226,Pevek,RU,2022-05-23 00:09:48,69.7008,170.3133,35.73,90,39,8.59
227,Skjervoy,NO,2022-05-23 00:09:49,70.0311,20.9714,41.0,83,99,5.19
228,Chamba,IN,2022-05-23 00:09:49,32.5667,76.1333,67.35,46,55,9.57
229,Pokhara,NP,2022-05-23 00:09:49,28.2333,83.9833,66.29,77,100,2.86
230,Whitehorse,CA,2022-05-23 00:09:49,60.7161,-135.0538,54.25,47,100,5.95
231,Nouadhibou,MR,2022-05-23 00:09:50,20.931,-17.0347,65.64,92,0,20.65
232,Prince George,CA,2022-05-23 00:09:50,53.9166,-122.753,71.29,23,36,5.01
233,Mizdah,LY,2022-05-23 00:09:50,31.4451,12.9801,65.57,26,0,4.18
234,Sao Joao Da Barra,BR,2022-05-23 00:09:50,-21.6403,-41.0511,70.05,71,12,9.24
235,Yatou,CN,2022-05-23 00:09:51,37.15,122.3833,73.69,49,76,10.78
236,Santa Cruz,BO,2022-05-23 00:06:01,-17.8,-63.1667,69.26,83,40,5.75
237,Vardo,NO,2022-05-23 00:09:51,70.3705,31.1107,37.38,93,100,17.27
238,Paskov,CZ,2022-05-23 00:09:51,49.7318,18.2904,51.51,96,0,2.3
239,Ileza,RU,2022-05-23 00:09:51,61.0533,43.9002,30.22,95,100,9.84
240,Iqaluit,CA,2022-05-23 00:09:52,63.7506,-68.5145,25.7,79,94,25.01
241,Muravlenko,RU,2022-05-23 00:09:52,63.7898,74.523,55.54,75,77,18.9
242,Cayenne,GF,2022-05-23 00:09:52,4.9333,-52.3333,82.09,1,0,0.0
243,Harper,LR,2022-05-23 00:09:52,4.375,-7.7169,75.9,92,100,11.65
244,Wajima,JP,2022-05-23 00:09:53,37.4,136.9,62.35,76,35,7.49
245,Westport,US,2022-05-23 00:08:12,41.1415,-73.3579,79.93,65,0,5.75
246,Katsuura,JP,2022-05-23 00:09:53,35.1333,140.3,67.17,84,27,4.12
247,Beisfjord,NO,2022-05-23 00:09:53,68.3751,17.5988,47.05,99,100,5.37
248,Inza,RU,2022-05-23 00:09:53,53.8533,46.3586,31.37,95,51,5.03
249,Pimentel,PE,2022-05-23 00:09:54,-6.8367,-79.9342,64.29,86,41,14.81
250,San Quintin,MX,2022-05-23 00:09:54,30.4833,-115.95,64.83,62,0,13.22
251,Puyang,CN,2022-05-23 00:09:54,29.4603,119.8861,65.37,97,100,4.09
252,Sorland,NO,2022-05-23 00:09:54,67.667,12.6934,46.26,89,88,6.35
253,San Juan De Los Morros,VE,2022-05-23 00:09:55,9.9115,-67.3538,78.69,58,65,3.4
254,Dali,CN,2022-05-23 00:09:55,25.7,100.1833,62.11,88,67,2.39
255,Itacare,BR,2022-05-23 00:09:55,-14.2775,-38.9967,74.3,79,1,10.98
256,Rio Grande,BR,2022-05-23 00:09:55,-32.035,-52.0986,57.22,80,1,7.92
257,Livingstone,ZM,2022-05-23 00:09:56,-17.8419,25.8543,47.7,53,0,2.48
258,Dembi Dolo,ET,2022-05-23 00:09:56,8.5333,34.8,58.26,91,100,3.94
259,Guerrero Negro,MX,2022-05-23 00:09:56,27.9769,-114.0611,65.41,62,0,19.08
260,Shelburne,CA,2022-05-23 00:09:56,44.0787,-80.2041,48.24,75,94,12.86
261,Deputatskiy,RU,2022-05-23 00:09:57,69.3,139.9,31.96,95,56,1.86
262,Saint-Augustin,CA,2022-05-23 00:09:57,51.226,-58.6502,46.13,94,75,8.79
263,Upington,ZA,2022-05-23 00:09:57,-28.4478,21.2561,56.64,61,84,5.28
264,Nsanje,MW,2022-05-23 00:09:57,-16.92,35.262,69.53,87,5,4.14
265,Humaita,BR,2022-05-23 00:09:57,-7.5061,-63.0208,79.07,67,77,1.1
266,Cabo San Lucas,MX,2022-05-23 00:09:58,22.8909,-109.9124,82.62,44,0,11.5
267,Parana,AR,2022-05-23 00:09:58,-31.732,-60.5238,62.56,76,26,8.88
268,Seoul,KR,2022-05-23 00:09:58,37.5683,126.9778,67.44,61,2,3.98
269,Carbonear,CA,2022-05-23 00:09:58,47.7332,-53.2148,55.62,66,59,11.16
270,Bilibino,RU,2022-05-23 00:09:59,68.0546,166.4372,49.59,54,85,7.09
271,Mersing,MY,2022-05-23 00:09:59,2.4312,103.8405,78.96,87,100,4.34
272,Beremend,HU,2022-05-23 00:09:59,45.7911,18.4326,63.68,64,61,3.15
273,Klaksvik,FO,2022-05-23 00:09:59,62.2266,-6.589,47.32,93,36,8.99
274,Dimitrovgrad,RU,2022-05-23 00:10:00,54.2139,49.6184,36.81,85,98,5.73
275,North Platte,US,2022-05-23 00:10:00,41.1239,-100.7654,63.12,34,100,5.99
276,Upanema,BR,2022-05-23 00:10:00,-5.6419,-37.2578,74.93,86,53,5.5
277,Nanhai,CN,2022-05-23 00:10:00,30.1282,111.7784,68.5,79,39,2.77
278,Latung,PH,2022-05-23 00:10:01,5.5,120.8833,81.9,75,100,2.44
279,Port Pirie,AU,2022-05-23 00:10:03,-33.1833,138.0167,63.68,64,87,5.35
280,Aklavik,CA,2022-05-23 00:10:04,68.2191,-135.0107,36.63,55,97,9.75
281,Manuk Mangkaw,PH,2022-05-23 00:10:04,4.8,119.85,82.63,72,100,3.96
282,Grindavik,IS,2022-05-23 00:10:05,63.8424,-22.4338,43.27,87,0,13.8
283,Isla Aguada,MX,2022-05-23 00:10:05,18.7833,-91.4667,89.64,80,25,26.93
284,Hofn,IS,2022-05-23 00:10:05,64.2539,-15.2082,45.07,65,64,11.95
285,Cidreira,BR,2022-05-23 00:10:06,-30.1811,-50.2056,59.5,78,99,5.95
286,Zurrieq,MT,2022-05-23 00:10:06,35.8311,14.4742,67.96,94,20,9.22
287,Kununurra,AU,2022-05-23 00:10:06,-15.7667,128.7333,75.18,41,65,4.61
288,Hambantota,LK,2022-05-23 00:10:07,6.1241,81.1185,79.0,84,93,15.35
289,Tianpeng,CN,2022-05-23 00:10:07,30.9866,103.9393,70.72,82,72,2.13
290,Karakol,KG,2022-05-23 00:10:10,42.4907,78.3936,44.76,92,100,3.71
291,Maloy,NO,2022-05-23 00:10:10,61.9353,5.1136,54.73,74,100,12.39
292,Repatriacion,PY,2022-05-23 00:10:10,-25.5333,-55.95,58.51,77,99,4.97
293,Tubuala,PA,2022-05-23 00:10:11,9.5167,-79.0333,81.63,81,37,6.91
294,Bani,DO,2022-05-23 00:10:11,18.2833,-70.3333,79.86,84,54,8.66
