City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Alihe,CN,50.5667,123.7167,66.45,35,12,10.69,few clouds
233,Ortakoy,TR,38.7373,34.0387,50.25,71,97,6.24,overcast clouds
234,Lapua,FI,62.9693,23.0088,34.48,61,100,2.3,overcast clouds
235,Rosario,AR,-32.9468,-60.6393,61.95,71,99,3.0,overcast clouds
236,Kaitangata,NZ,-46.2817,169.8464,50.85,68,100,17.25,overcast clouds
237,Balad,IQ,34.0164,44.1453,79.57,31,52,16.69,broken clouds
238,Plougastel-Daoulas,FR,48.3667,-4.3667,55.45,97,100,6.91,fog
239,Cedar Lake,US,41.3648,-87.4411,56.98,58,100,5.93,overcast clouds
240,Chemainus,CA,48.9163,-123.7194,67.01,53,100,4.61,overcast clouds
241,Mihara,JP,34.4,133.0833,72.48,55,100,0.34,overcast clouds
242,Qaqortoq,GL,60.7167,-46.0333,34.09,90,98,6.51,overcast clouds
243,Sakaiminato,JP,35.55,133.2333,66.07,70,1,5.5,clear sky
244,Warrnambool,AU,-38.3833,142.4833,54.55,68,0,5.97,clear sky
245,Fresnillo,MX,23.1667,-102.8833,80.33,9,1,15.19,clear sky
246,Poprad,SK,49.0614,20.298,46.17,81,40,4.0,scattered clouds
247,Chandauli,IN,25.2667,83.2667,78.85,57,5,11.05,clear sky
248,Chapais,CA,49.7834,-74.8492,35.78,93,95,5.3,overcast clouds
249,Kotel,BG,42.8833,26.45,54.64,61,55,4.45,broken clouds
250,Colares,PT,38.7992,-9.4469,63.28,76,9,25.01,clear sky
251,Iguape,BR,-24.7081,-47.5553,63.0,88,2,5.44,clear sky
252,Kahului,US,20.8947,-156.47,83.97,73,10,11.01,clear sky
253,Cubara,CO,7.0008,-72.1085,73.18,83,7,3.94,clear sky
254,Palmerston North,NZ,-40.35,175.6167,61.5,72,12,1.01,few clouds
255,Monrovia,LR,6.3005,-10.7969,75.54,93,100,5.46,heavy intensity rain
256,Sistranda,NO,63.7256,8.834,53.56,84,100,5.66,light rain
257,Stornoway,GB,58.2093,-6.3865,48.16,97,75,4.61,light rain
258,Baruun-Urt,MN,46.6806,113.2792,70.16,24,0,10.4,clear sky
259,Mbandaka,CD,0.0487,18.2603,71.17,98,100,3.44,overcast clouds
