City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Beira,MZ,68.18,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
442,Turbat,PK,87.37,clear sky,26.0023,63.044,Mubashar Quarters
446,Nieves,PH,85.23,overcast clouds,15.3274,120.9485,Bill's Inn
448,Omboue,GA,74.32,broken clouds,-1.5746,9.2618,Hotel Olako
449,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
451,Rutland,US,69.78,clear sky,43.6167,-73.0162,Comfort Inn Trolley Square
452,Aguilas,ES,73.18,clear sky,37.4063,-1.5829,Hotel Carlos III
454,Pakokku,MM,86.25,broken clouds,21.3333,95.1,Royal Palace Motel
457,Dingle,PH,85.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
458,Biloela,AU,70.97,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
459,Palmer,US,72.95,broken clouds,42.1584,-72.3287,Wedgewood Motel
460,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
463,Yafran,LY,66.4,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
464,Vega De Alatorre,MX,81.88,clear sky,20.0333,-96.6333,Hotel D Luxe
466,Sechura,PE,67.03,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
467,Savannah Bight,HN,83.57,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
471,Sardarpur,IN,76.64,broken clouds,22.678,74.9484,Shri Maya Lodge
475,Bom Jesus,BR,77.18,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
478,Nha Trang,VN,86.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
480,Alizai,PK,67.8,clear sky,33.5383,70.3462,Alizai Rest House
481,Samarai,PG,82.47,few clouds,-10.6167,150.6667,Nuli Sapi
482,Vila Do Maio,CV,72.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
484,Carutapera,BR,74.55,few clouds,-1.195,-46.02,Lidera
485,Nanakuli,US,82.35,few clouds,21.3906,-158.1547,Camp Pālehua
486,Tifton,US,75.13,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
489,Boz,FR,67.17,light rain,46.4071,4.9109,Le Jardin De La Reyssouze
493,Mogadishu,SO,79.92,overcast clouds,2.0371,45.3438,Hotel Juba
495,Pemangkat,ID,81.36,scattered clouds,1.1667,108.9667,Ramah Kost KITA
496,Axim,GH,75.94,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
497,Mangan,IN,73.74,clear sky,27.5167,88.5333,Hotel Mout View
498,Biltine,TD,82.74,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
502,Jiayuguan,CN,67.08,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
507,Dakar,SN,70.68,clear sky,14.6937,-17.4441,Novotel Dakar
508,Amuntai,ID,80.04,broken clouds,-2.4177,115.2494,Hotel Balqis
509,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
512,Venice,US,86.05,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
513,Ambulu,ID,79.81,few clouds,-8.345,113.6058,Hotel Ambulu Jember
514,Kalmunai,LK,79.95,scattered clouds,7.4167,81.8167,VS Villa
515,Esna,EG,72.86,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
516,Bengkulu,ID,78.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
518,Vanderhoof,CA,66.51,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
519,Catuday,PH,81.86,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
520,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
523,Belmonte,BR,71.46,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
525,Vila Franca Do Campo,PT,67.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
